DATE,CPI,CoreCPI,PCE,CorePCE,IP,UNEM,WORK,HS,INC,SPREAD
1984-01-01,,,,,-0.3020463160936089,0.2377342693920399,-657.8395527627727,82.71636333234096,0.6,2.469999999999999
1984-02-01,5.862249079259385,3.5139425051738726,-7.912280630078783,7.539770306265936,-0.14805519051554938,0.0700680287412121,-401.5148620465043,449.1707160382723,-1.3,2.4499999999999997
1984-03-01,3.5036521240016327,4.6692131783792945,13.948162248662754,4.546608116433148,0.0337569105011255,0.10238527876612569,-357.14448802791594,-144.38067544769387,0.8,2.5
1984-04-01,4.655679942706925,5.811012905166635,12.714115376104829,5.634049334986635,0.27162124400545906,0.034664644307193626,-221.65486442818656,47.025252271708496,0.7,2.68
1984-05-01,2.3210838957968605,4.628970297432211,8.272538844743593,2.7821013975914965,0.4850667228166188,-0.233122359883974,-142.947623267959,-26.638410970458835,0.6,3.34
1984-06-01,2.316603036069864,3.4596283258943927,10.188991013627557,2.8256194095204634,0.604803397167359,-0.4010066263227339,11.090996131053544,45.59815901634647,0.7,3.610000000000001
1984-07-01,4.619832462530127,4.59793314850554,-0.4809426540262507,5.158940021924785,0.6765076321013552,-0.06900285847167265,94.5846813654498,-62.29336368768281,-0.4,3.1500000000000004
1984-08-01,3.453239793138252,5.722336787893489,8.436561073852289,3.947657830100404,0.6537137924263448,-0.037097912110997555,111.65634982363554,-205.34447154117447,0.4,2.209999999999999
1984-09-01,3.443330913543008,7.965868393154807,10.273546697760949,1.8328555236095667,0.41290926325340394,-0.20527385115574504,198.42235051342868,-90.58233107472279,0.7,2.16
1984-10-01,4.575792007697288,5.657860363831269,-1.1845769061284983,2.6946581712820716,0.32753603290249345,-0.0735101632770494,258.99127852947277,-196.01984878617577,-0.3,2.3200000000000003
1984-11-01,2.28136950842881,2.255477332163913,18.86099148476248,2.540779833599416,0.43110741543915054,-0.2417720810174968,388.45794963653316,-94.66364073372256,1.4,2.7200000000000006
1984-12-01,2.2770405314300746,2.251518657613083,5.215374914883597,4.746442774233728,0.36821397937107747,-0.1100197320472196,290.8991940939304,-169.50671048605477,0.2,3.01
1985-01-01,2.2727279520847077,2.2473021208330834,16.703464985262073,6.706389324189921,0.2774163551910078,-0.07819645430850386,334.3648659144674,-68.53548774792375,0.9,3.17
