Series,ADF (intercept),PP (intercept),ADF (intercept+trend),PP (intercept+trend)
CPI,-3.74***,-11.64***,-6.20***,-11.50***
CoreCPI,-1.48,-12.92***,-2.41,-12.56***
PCE,-3.91***,-23.91***,-25.10***,-24.21***
CorePCE,-3.20**,-18.76***,-4.50***,-19.93***
IP,-6.55***,-4.07***,-6.55***,-4.07***
UNEM,-4.76***,-4.31***,-4.76***,-4.30***
WORK,-5.41***,-3.67***,-5.40***,-3.67**
HS,-6.35***,-12.93***,-6.35***,-12.91***
INC,-3.45***,-25.10***,-3.50**,-25.23***
SPREAD,-3.92***,-3.31**,-4.03***,-3.36*
